model,accuracy,precision,recall,f1,auc
naive_bayes,0.07816711590296496,0.08765687778405169,0.11,0.08852958521687572,0.5507349475653015
svm,0.35714285714285715,0.36024451659451656,0.393,0.33979022439548756,0.5147783488453793
random_forest,0.22641509433962265,0.18705000000000002,0.244,0.19175569985569985,0.8012416733409423
cnn,0.07951482479784366,0.0407449938949939,0.09,0.04872735930735931,0.8586548482933711
